,tru_126,tru_127N,tru_127C,tru_128N,tru_128C,tru_129N,tru_129C,tru_130N,tru_130C,tru_131N
obs_126,1,0,0.008,0,0,0,0,0,0,0
 obs_127N,0,1,0,0.012,0,0,0,0,0,0
 obs_127C,0.074,0,1,0,0.015,0,0,0,0,0
 obs_128N,0,0.078,0,1,0,0.015,0,0,0,0
 obs_128C,0,0,0.069,0,1,0,0.026,0,0,0
 obs_129N,0,0.001,0,0.063,0,1,0,0.022,0,0
 obs_129C,0,0,0.001,0,0.062,0,1,0,0.031,0
 obs_130N,0,0,0,0,0,0.057,0,1,0,0.087
 obs_130C,0,0,0,0,0.002,0,0.048,0,1,0
 obs_131N,0,0,0,0,0,0.001,0,0.046,0,1
