,tru_126,tru_127N,tru_127C,tru_128N,tru_128C,tru_129N,tru_129C,tru_130N,tru_130C,tru_131N
obs_126,1,0,0.006,0,0,0,0,0,0,0
 obs_127N,0,1,0,0.007,0,0,0,0,0,0
 obs_127C,0.082,0,1,0,0.014,0,0,0,0,0
 obs_128N,0,0.063,0,1,0,0.025,0,0,0,0
 obs_128C,0.004,0,0.059,0,1,0,0.023,0,0,0
 obs_129N,0,0,0,0.059,0,1,0,0.027,0,0
 obs_129C,0,0,0,0,0.051,0,1,0,0.017,0
 obs_130N,0,0,0,0,0,0.05,0,1,0,0.034
 obs_130C,0,0,0,0,0,0,0.043,0,1,0
 obs_131N,0,0,0,0,0,0,0,0.039,0,1
